celltype_HCA_fine,Developmental_stage,n_cells
Endo_artery,Adult,7635
Endo_artery,Fetal,2138
Endo_artery,paediatric,1015
Endo_artery,pubertal,444
Endo_artery,postpubertal,35
Endo_cap,Adult,12004
Endo_cap,Fetal,5835
Endo_cap,paediatric,2288
Endo_cap,pubertal,964
Endo_cap,postpubertal,108
Endo_cap_APCDD1,Adult,4587
Endo_cap_APCDD1,paediatric,70
Endo_cap_APCDD1,pubertal,33
Endo_cap_APCDD1,postpubertal,1
Endo_cap_APCDD1+,Fetal,2567
Endo_cap_cycl,Adult,3594
Endo_cap_cycl,Fetal,1425
Endo_cap_cycl,paediatric,58
Endo_cap_cycl,pubertal,4
Endo_cap_kidney,Fetal,548
Endo_cap_tip,Adult,2029
Endo_cap_tip,Fetal,729
Endo_cap_tip,paediatric,586
Endo_cap_tip,pubertal,247
Endo_cap_tip,postpubertal,23
Endo_lymp,Adult,8992
Endo_lymp,Fetal,1233
Endo_lymp,paediatric,101
Endo_lymp,pubertal,49
Endo_ven_apcv,Adult,4844
Endo_ven_apcv,paediatric,7
Endo_ven_hev,Adult,11293
Endo_ven_hev,paediatric,167
Endo_ven_hev,pubertal,31
Endo_ven_hev,postpubertal,4
Endo_ven_pcv,Adult,11287
Endo_ven_pcv,Fetal,2104
Endo_ven_pcv,paediatric,311
Endo_ven_pcv,pubertal,198
Endo_ven_pcv,postpubertal,4
Endo_ven_tpcv,Adult,16669
Endo_ven_tpcv,paediatric,165
Endo_ven_tpcv,pubertal,54
Endo_ven_tpcv,postpubertal,4
Epi_CervixMucinous,Adult,1156
Epi_CervixMucinous_Secretory,Adult,287
Epi_CervixSquamous,Adult,1138
Epi_CervixSquamous_Cyc,Adult,409
Epi_EctocervixVaginaSquamous,Adult,646
Epi_EndoCil_Cyc,Adult,1975
Epi_EndoCil_Diff,Adult,8903
Epi_EndoCil_eProf,Adult,1014
Epi_EndoGlandBas,Adult,748
Epi_EndoGlandBas_WIF1,Adult,1694
Epi_EndoGlandFun_Menstr,Adult,4248
Epi_EndoGlandFun_Prof,Adult,23099
Epi_EndoGlandFun_Prof_Cyc,Adult,12815
Epi_EndoGlandFun_emSec,Adult,18366
Epi_EndoGlandFun_lProf,Adult,11900
Epi_EndoGlandFun_lSec,Adult,1467
Epi_EndoGlandFun_mSec,Adult,25233
Epi_EndoGlandLum_Prof,Adult,9672
Epi_EndoGlandLum_eSec,Adult,24
