celltype_HCA_fine,Organ,n_cells
Endo_artery,Uterus,4192
Endo_artery,Ovary,4034
Endo_artery,Fallopian Tube,1703
Endo_artery,Reproductive tract,1015
Endo_artery,Vagina,236
Endo_artery,Mesonephros,51
Endo_artery,Cervix,36
Endo_cap,Ovary,9829
Endo_cap,Uterus,6538
Endo_cap,Fallopian Tube,2340
Endo_cap,Reproductive tract,2038
Endo_cap,Cervix,179
Endo_cap,Vagina,146
Endo_cap,Mesonephros,129
Endo_cap_APCDD1,Uterus,4490
Endo_cap_APCDD1,Ovary,199
Endo_cap_APCDD1,Fallopian Tube,2
Endo_cap_APCDD1+,Reproductive tract,2174
Endo_cap_APCDD1+,Ovary,393
Endo_cap_cycl,Uterus,3009
Endo_cap_cycl,Ovary,1435
Endo_cap_cycl,Reproductive tract,570
Endo_cap_cycl,Mesonephros,36
Endo_cap_cycl,Cervix,18
Endo_cap_cycl,Fallopian Tube,7
Endo_cap_cycl,Vagina,6
Endo_cap_kidney,Ovary,362
Endo_cap_kidney,Reproductive tract,184
Endo_cap_kidney,Mesonephros,2
Endo_cap_tip,Ovary,1782
Endo_cap_tip,Uterus,1436
Endo_cap_tip,Reproductive tract,359
Endo_cap_tip,Mesonephros,15
Endo_cap_tip,Fallopian Tube,10
Endo_cap_tip,Vagina,9
Endo_cap_tip,Cervix,3
Endo_lymp,Fallopian Tube,6333
Endo_lymp,Uterus,2031
Endo_lymp,Ovary,1301
Endo_lymp,Reproductive tract,528
Endo_lymp,Vagina,180
Endo_lymp,Cervix,2
Endo_ven_apcv,Uterus,2062
Endo_ven_apcv,Fallopian Tube,1925
Endo_ven_apcv,Ovary,784
Endo_ven_apcv,Vagina,80
Endo_ven_hev,Uterus,10725
Endo_ven_hev,Ovary,642
Endo_ven_hev,Cervix,56
Endo_ven_hev,Fallopian Tube,47
Endo_ven_hev,Vagina,25
Endo_ven_pcv,Uterus,7870
Endo_ven_pcv,Fallopian Tube,2373
Endo_ven_pcv,Ovary,1612
Endo_ven_pcv,Reproductive tract,1397
Endo_ven_pcv,Vagina,461
Endo_ven_pcv,Mesonephros,170
Endo_ven_pcv,Cervix,21
Endo_ven_tpcv,Uterus,8476
Endo_ven_tpcv,Fallopian Tube,6082
Endo_ven_tpcv,Vagina,1731
Endo_ven_tpcv,Ovary,586
Endo_ven_tpcv,Cervix,17
Epi_CervixMucinous,Cervix,1156
Epi_CervixMucinous_Secretory,Cervix,281
Epi_CervixMucinous_Secretory,Vagina,6
Epi_CervixSquamous,Cervix,1082
Epi_CervixSquamous,Uterus,40
Epi_CervixSquamous,Vagina,16
Epi_CervixSquamous_Cyc,Cervix,388
Epi_CervixSquamous_Cyc,Vagina,21
Epi_EctocervixVaginaSquamous,Cervix,543
Epi_EctocervixVaginaSquamous,Vagina,103
Epi_EndoCil_Cyc,Uterus,1975
Epi_EndoCil_Diff,Uterus,8903
