celltype_HCA_fine,source_study,source_doi,author_label,n_cells
Endo_artery,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,Endothelial SEMA3G,299
Endo_artery,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,Endothelial ACKR1,224
Endo_artery,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,Endothelial,946
Endo_artery,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,Epithelial,1
Endo_artery,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",Arterial,659
Endo_artery,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",Venous,86
Endo_artery,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Endothelial,27
Endo_artery,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Endothelial,1016
Endo_artery,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Art,1812
Endo_artery,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Art_LY6H+_angiogenic,506
Endo_artery,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Cap,206
Endo_artery,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Art_HEY2+_notch,79
Endo_artery,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Cap_LY6H+_angiogenic,25
Endo_artery,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Cycling,6
Endo_artery,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Ven,1
Endo_artery,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),PV_SMC_Arterial,1
Endo_artery,celltype_Ulrich2022,10.1016/j.devcel.2022.02.017,blood vessel endothelial cell,322
Endo_artery,celltype_Ulrich2024,10.1073/pnas.2404775121,Artery,1039
Endo_artery,celltype_Ulrich2024,10.1073/pnas.2404775121,aPCV,134
Endo_artery,celltype_Ulrich2024,10.1073/pnas.2404775121,Tip,75
Endo_artery,celltype_Ulrich2024,10.1073/pnas.2404775121,Capillary,20
Endo_artery,celltype_Ulrich2024,10.1073/pnas.2404775121,tPCV,18
Endo_artery,celltype_Ulrich2024,10.1073/pnas.2404775121,EndoMT,8
Endo_artery,celltype_Ulrich2024,10.1073/pnas.2404775121,HEV,5
Endo_artery,celltype_Ulrich2024,10.1073/pnas.2404775121,PCV,5
Endo_artery,celltype_Ulrich2024,10.1073/pnas.2404775121,HMGB2-Prolif,3
Endo_artery,celltype_Ulrich2024,10.1073/pnas.2404775121,MUC16+_Gland_sec,2
Endo_artery,celltype_Ulrich2024,10.1073/pnas.2404775121,Fibrocytes,1
Endo_artery,celltype_Ulrich2024,10.1073/pnas.2404775121,Gland-sec-progenitor-A,1
Endo_artery,celltype_Ulrich2024,10.1073/pnas.2404775121,Myoepithelial,1
Endo_artery,celltype_Ulrich2024,10.1073/pnas.2404775121,Tissue-resident-vascular-progenitor,1
Endo_artery,celltype_Weigert2025,10.1038/s41467-024-55440-2,endothelial cell,766
Endo_artery,celltype_Weigert2025,10.1038/s41467-024-55440-2,ciliated epithelial cell,2
Endo_artery,celltype_Weigert2025,10.1038/s41467-024-55440-2,endothelial cell of lymphatic vessel,2
Endo_artery,celltype_Weigert2025,10.1038/s41467-024-55440-2,stromal cell,1
Endo_cap,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,Endothelial ACKR1,366
Endo_cap,celltype_GarciaAlonso2021,10.1038/s41588-021-00972-2,Endothelial SEMA3G,1
Endo_cap,celltype_GarciaAlonso2022,10.1038/s41586-022-04918-4,Endothelial,2751
Endo_cap,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",Venous,437
Endo_cap,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",Arterial,33
Endo_cap,celltype_HECA,"10.1038/s41588-024-01873-w (HECA/Marečková 2024, tentative)",Lymphatic,1
Endo_cap,celltype_Lardenois2026,10.1016/j.devcel.2025.09.011,Endothelial,107
Endo_cap,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Endothelial,2142
Endo_cap,celltype_Lorenzi2025,10.1038/s41586-025-09875-2,Preputial Lamina Epi,1
Endo_cap,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Cap,5398
Endo_cap,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Art,237
Endo_cap,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Cap_LY6H+_angiogenic,206
Endo_cap,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Cycling,89
Endo_cap,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Ven,50
Endo_cap,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Art_LY6H+_angiogenic,43
Endo_cap,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Cap_CA2+_angiogenic,5
Endo_cap,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Cap_VCAN+_activated,3
Endo_cap,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),PV_SMC_Arterial,2
Endo_cap,celltype_OvarySanger2026,(unresolved: Sanger ovary 2026),Endo_Lymph,1
Endo_cap,celltype_Ulrich2022,10.1016/j.devcel.2022.02.017,blood vessel endothelial cell,132
Endo_cap,celltype_Ulrich2022,10.1016/j.devcel.2022.02.017,endothelial cell of lymphatic vessel,1
Endo_cap,celltype_Ulrich2024,10.1073/pnas.2404775121,aPCV,1236
Endo_cap,celltype_Ulrich2024,10.1073/pnas.2404775121,PCV,203
Endo_cap,celltype_Ulrich2024,10.1073/pnas.2404775121,tPCV,95
Endo_cap,celltype_Ulrich2024,10.1073/pnas.2404775121,Tip,33
