column,role,dtype,n_unique,%labelled,examples
celltype_HCA,HCA_annotation,category,149,100.0,"Epi_EndoGlandFun_Prof, Epi_EndoGlandFun_Prof_Cyc, Epi_E"
celltype_HCA_broad,HCA_annotation,category,98,100.0,"Epi_EndoGlandFun, Epi_EndoCil, Epi_EndoGlandLum"
celltype_HCA_fine,HCA_annotation,category,212,100.0,"Epi_EndoGlandFun_Prof, Epi_EndoGlandFun_Prof_Cyc, Epi_E"
celltype_HCA_lineage,HCA_annotation,category,8,100.0,"epithelial, endothelial, mesenchymal"
celltype_HCA_ontology_level1,HCA_annotation,category,8,100.0,"Epithelial, Endothelial, Mesenchymal"
celltype_HCA_ontology_level2,HCA_annotation,category,24,100.0,"Secretory epithelial, Ciliated epithelial, Artery endot"
celltype_HCA_ontology_level3,HCA_annotation,category,57,100.0,"Endometrial functionalis glandular epithelia, Endometri"
celltype_HCA_ontology_level4,HCA_annotation,category,117,100.0,Endometrial functionalis glandular epithelial of prolif
celltype_GarciaAlonso2021,author_celltype,category,15,3.6,"SOX9, eS, Endothelial ACKR1"
celltype_GarciaAlonso2022,author_celltype,category,22,8.3,"GermCells, preGC_IIb, OSE"
celltype_HECA,author_celltype,category,36,6.7,"SOX9_functionalis_II, eStromal, eStromal_cycling"
celltype_Lardenois2026,author_celltype,category,19,2.8,"Undifferentiated_supporting, Germ, Gonadal_CE"
celltype_Lorenzi2025,author_celltype,category,48,13.5,"Fallopian Epi, Epoophron Mese, Mesonephric Tubules Epi"
celltype_OvarySanger2026,author_celltype,category,80,15.3,"Endo_Cap, Endo_Art, PV_SMC_Arterial"
celltype_Ulrich2022,author_celltype,category,12,2.2,"secretory cell, ciliated epithelial cell, blood vessel "
celltype_Ulrich2024,author_celltype,category,39,5.2,"HMGB2-Prolif, dS2, eS-proliferative"
celltype_Weigert2025,author_celltype,category,12,4.6,"peg cell, plasma cell, endothelial cell of lymphatic ve"
G2M_score,numeric_qc/score,float64,797375,100.0,"-6.872405372405372, -6.957570207570207, -5.893772893772"
S_score,numeric_qc/score,float64,504471,100.0,"-5.201260810670002, -4.34568094196103, -3.7178284880691"
cell_to_exclude,numeric_qc/score,bool,1,100.0,False
doublet_scores,numeric_qc/score,float64,5482,100.0,"0.07086614173228348, 0.05407463823305406, 0.11475409836"
health_score,numeric_qc/score,float64,1447347,100.0,"119.63000000000001, 93.03999999999999, 104.251428571428"
metabolic_activity,numeric_qc/score,float64,453281,100.0,"24.029977628635343, 10.13847874720358, 14.1675615212527"
n_counts,numeric_qc/score,float32,72742,100.0,"138602.0, 117044.0, 114727.0"
n_genes,numeric_qc/score,int64,11275,100.0,"11136, 10829, 10401"
percent_mito,numeric_qc/score,float64,1582653,100.0,"0.032806165516376495, 0.04194149374961853, 0.0403392389"
senescence_score,numeric_qc/score,float64,2002448,100.0,"2.5410443653443906, 3.006142893838758, 2.37923745917581"
stress_score_vandenBrink,numeric_qc/score,float64,2065956,100.0,"25.45, 21.836830357142855, 20.60982142857143"
Assay_type,sample_metadata(categorical),category,1,100.0,10x scRNA-seq
Batch,sample_metadata(categorical),category,5,83.5,"unknown, 1.0, 2.0"
Cell_enrichment,sample_metadata(categorical),category,5,83.5,"unknown, FACS_DDX4-, FACS_DDX4+"
Clinical_diagnosis,sample_metadata(categorical),category,48,100.0,"Not applicable, endometriosis, teratoma"
Collection_site,sample_metadata(categorical),category,16,100.0,"Rutgers - New Jersey Medical School, Wellcome Sanger In"
Dataset,sample_metadata(categorical),category,27,100.0,"Burns 2026, Garcia-Alonso 2021, Huang 2023"
Dataset_id,sample_metadata(categorical),category,24,96.3,"GSE290822,  E-MTAB-10287, GSE214411"
Developmental_stage,sample_metadata(categorical),category,5,100.0,"Adult, paediatric, pubertal"
Disease,sample_metadata(categorical),category,41,100.0,"control, endometriosis, teratoma"
Dissociation_method,sample_metadata(categorical),category,9,100.0,"trypsin_collagenase, collagenase, unknown"
Donor_id,sample_metadata(categorical),category,291,100.0,"EMB44, EMB50, EMB51"
Gestational_age_pcw,sample_metadata(categorical),category,29,100.0,"Not applicable, 6, 11"
Library_chemistry,sample_metadata(categorical),category,19,100.0,"3' v2, 3' v3, 3' v3-v3.1"
Library_id,sample_metadata(categorical),category,417,100.0,"GSM8823440, GSM8823441, GSM8823442"
Menstrual_stage,sample_metadata(categorical),category,22,100.0,"Proliferative late, Secretory Mid, Secretory Late"
Menstrual_stage_OriginalAuthors,sample_metadata(categorical),category,21,100.0,"Secretory Early, Secretory Mid, Secretory Late"
Multiplexed,sample_metadata(categorical),category,2,100.0,"no, yes"
Observed_pathology,sample_metadata(categorical),category,7,100.0,"Not applicable, endometriosis, normal"
Organ,sample_metadata(categorical),category,7,100.0,"Uterus, Fallopian Tube, Ovary"
Organ_part,sample_metadata(categorical),category,30,100.0,"Endometrium, Whole_Uterus, Mentrual fluid"
Postnatal_age_years,sample_metadata(categorical),category,60,100.0,"30, 37, 23"
Preservation_method,sample_metadata(categorical),category,4,99.8,"fresh, cryopreserved, unknown"
Sample_id,sample_metadata(categorical),category,440,100.0,"GSM8823440, GSM8823441, GSM8823442"
Sample_id_other,sample_metadata(categorical),category,440,100.0,"GSM8823440, GSM8823441, GSM8823442"
Sampled_site_condition,sample_metadata(categorical),category,6,100.0,"normal, endometriosis, infertility"
Sequencing_platform,sample_metadata(categorical),category,9,100.0,"nextseq500, hiseq4000-novaseq6000, hiseqp150"
Sex,sample_metadata(categorical),category,1,100.0,female
Sorting_method,sample_metadata(categorical),category,3,99.8,"Not applicable, unknown, FACS"
Specimen_type,sample_metadata(categorical),category,4,100.0,"biopsy, whole_tissue, unknown"
Tanner Stage,sample_metadata(categorical),category,7,100.0,"Pubic V/Genitals-Breast V, Pubic I/Genitals-Breast I, P"
Target_cell_population,sample_metadata(categorical),category,5,99.8,"Not applicable, unknown, oogonial stem cells"
Tissue_ROI,sample_metadata(categorical),category,37,100.0,"Endometrium, Superficial_Endometrium, Myometrium"
Tissue_status,sample_metadata(categorical),category,3,100.0,"unaffected, Unknown, affected"
dataset,sample_metadata(categorical),category,27,100.0,"uterus_adult_burns2026, uterus_adult_garciaalonso2021, "
phase,sample_metadata(categorical),category,3,100.0,"G1, G2M, S"
predicted_doublet,sample_metadata(categorical),object,2,16.3,"False, True"
sample,sample_metadata(categorical),category,427,100.0,"GSM8823440, GSM8823441, GSM8823442"
